Název titulu v AIS,číslo titulu v AIS,rok,žánr,číslo zdroje digitalizace obrazu v AIS,číslo zdroje digitalizace zvuku v AIS,datum digitalizace,místo digitalizace,technologie digitalizace,délka v sekundách,poznámky,kontrola kvality
BERLÍN - SRPEN 1961,0060548,1961,dokument,KF-K  007929,KF-K  007929,27.3.2017,FLB,HD telecine,"1 437,00",,
BETLÉM,4000521,1947,animovaný,KF-K 019073,KF-K 019073,2014,Barrandov,HD telecine,"637,560000",epizoda z pásma Špalíček (1947),
BEZSTAROSTNÉ CESTOVÁNÍ PO ŽELEZNICI,0060751,1937,dokument,KF-K 005653,KF-K 005653,2015,Barrandov,HD telecine,"1137,040000",,
BÍLÁ NEMOC,0010632,1937,hraný,,,2015,Magyar Filmlabor,4K sken / 4K postprodukce,"6253,320000",Digitálně restaurováno EEA,
BÍLÁ PANÍ,0010983,1965,hraný,HF-D 5994,HF-D 5994,2016,Barrandov,HD telecine,"5 472,04",,
BÍLÁ TELČ,0060755,1948,dokument,KF-K 40714,KF-K 40714,2016,Barrandov,HD telecine,"499,04",,
BÍLÁ TMA,0010418,1948,hraný,HF-K 022896,HF-K 022896,2014,Česká televize,HD telecine,"6210,200000",,
BÍLÁ VRÁNA,0010026,1938,hraný,HF-K 014019,HF-K 014019,2015,Barrandov,HD telecine,"6515,080000",,
BÍLÝ JELEN ,4000524,1932,animovaný,KF-K 013645,x,2012,Barrandov,HD telecine,"301,000000",pro DVD Český animovaný film 1925-1945,
BIMBOVO SMUTNÉ DOBRODRUŽSTVÍ ,4000525,1930,animovaný,KF-DP 011890,x,2012,Barrandov,HD telecine,"615,750000",pro DVD Český animovaný film 1925-1945,
BITVA POD ZEMÍ,0060760,1949,dokument,KF-K 005754,KF-K 005754,2014,Barrandov,HD telecine,"863,040000",,
BLAHO LÁSKY,4000527,1966,animovaný,KF-K 018828,KF-K 018828,2014,Barrandov,HD telecine,"448,800000","Pozor, NFA není držitelem práv výrobce.",
BLÁZNOVA KRONIKA,0010986,1964,hraný,HF-K 026276,HF-K 026276,2015,Česká televize,HD telecine,"4870,960000",,
BLEDNOUCÍ ROMANCE,0011166,1958,hraný,HF-K 4983,HF-K 4983,2016,Barrandov,HD telecine,"5 053,40",,
BOHOSLUŽBY KU 25. VÝROČÍ UMRTÍ FARSKÉHO,3620498,1952,amatérský dokumentární,KF-K 034160,KF-K 034160,2014,Barrandov,HD telecine,"761,040000",,
BONY A KLID,0011334,1987,hraný,HF-K 24973,HF-K 24973,2016,Barrandov,HD telecine,"5 475,76",,
BOTA JMÉNEM MELICHAR,0011169,1983,hraný,HF-K 18217,HF-K 18217,2016,Barrandov,HD telecine,"4 220,04",,
BOUREC MORUŠOVÝ,0060817,1941,dokument,KF-K 13512,KF-K 13512,2016,Barrandov,HD telecine,"601,90",,
BOUŘE,0060818,1945,dokument,KF-K 000995,KF-K 000995,2015,Barrandov,HD telecine,"337,840000",,
BOUŘLIVÉ VÍNO,0011172,1976,hraný,HF-K 029414,HF-K 029414,2015,Barrandov,HD telecine,"7677,160000",,
BRAMBOR - KRÁL KUCHYNĚ,0060823,1944,dokument,KF-K 013728,KF-K 013728,2014,Česká televize,HD telecine,"652,040000",,
BRANNÁ VÝCHOVA I.,0063974,1951,dokument,KF-K 021591,KF-K 021591,2015,Barrandov,HD telecine,"900,040000",,
BRANNÁ VÝCHOVA II.,0067170,1951,dokument,KF-K 036305,KF-K 036305,2015,Barrandov,HD telecine,"1248,040000",,
BRATISLAVSKÍ VÝTVARNÍCI,0060629,1938,dokument,KF-K 23650,x,2016,Barrandov,HD telecine,"626,88",,
BRIGÁDA,4000533,1950,animovaný,KF-K 000018,KF-K 000018,2014,Barrandov,HD telecine,"800,000000",,
BRNÍŘOVSKÉ STÁDO,0060838,1955,dokument,KF-K 012992,KF-K 012992,2015,Barrandov,HD telecine,"800,960000",,
BRNO,0066520,1919,dokument,KF-K 023997,x,2014,Barrandov,HD telecine,"545,440000",,
BUBLÍNKOVÉ ,4000539,1928,animovaný,KF-K 013491,x,2012,Barrandov,HD telecine,"279,250000",pro DVD Český animovaný film 1925-1945,
BURLESKA,0060526,1932,dokument,KF-K 012875,x,2014,Barrandov,HD telecine,"327,040000",,
BÝČÍ ZÁPASY,0064325,1956,dokument,KF-K 21590,KF-K 21590,2016,Barrandov,HD telecine,"589,04",,
BYL BISMARCK V KAŠMÍRU?,0060851,1961,dokument,KF-K 6289,KF-K 6289,2016,Barrandov,HD telecine,"384,04",,
BYL JEDNOU JEDEN KRÁL,0010358,1954,hraný,HF-K 027641,HF-K 027641,2010,UPP,HD telecine,"5841,040000",,
BYL PRVNÍ MÁJ,0010004,1919,hraný,HF-K 013479,x,2015,Barrandov,HD telecine,"597,880000",,
BYLI JEDNOU TŘI MUŽI,4002492,1947,animovaný,KF-K 020989,KF-K 020989,2012,Barrandov,HD telecine,"528,600000",pro DVD Dodalovi,
"BYTY, BYTY, BYTY...",0066108,1975,dokument,KF-K 35510,KF-K 35510,2016,Barrandov,HD telecine,"849,00",,
CAGEY TIGERS,0013080,2010,hraný,KF-K 030923,KF-K 030923,2015,Barrandov,HD telecine,"1387,040000",,
CARMEN NEJEN PODLE BIZETA,0063264,1968,dokument,KF-K 020898,KF-K 020898,2015,Česká televize,HD telecine,"1505,080000",,
CESKOSLOVENSKE_FILMOVE_NOVINY_15_1950,3921465,1950,zpravodajský film,KF DP-28892,KF DP-28892,13.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKE_FILMOVE_NOVINY_19_1946,3920715,1946,zpravodajský film,KF DP-17873,KF DP-17873,13.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKE_FILMOVE_NOVINY_19_1947,3920853,1947,zpravodajský film,KF DP-28233,KF DP-28233,13.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKE_FILMOVE_NOVINY_6_1948,3920932,1948,zpravodajský film,KF DP-28402,KF DP-28402,13.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_1_1965,3926534,1965,zpravodajský film,KF K-41230,KF K-41230,12.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_10_1965,3926543,1965,zpravodajský film,KF K-41239,KF K-41239,12.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_11_1965,3926544,1965,zpravodajský film,KF K-41240,KF K-41240,9.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_13_1965,3926546,1965,zpravodajský film,KF K-41242,KF K-41242,12.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_15_1965,3926548,1965,zpravodajský film,KF K-41244,KF K-41244,12.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_16_1961,3921787,1961,zpravodajský film,KF DP-32331,KF DP-32331,14.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_17_1965,3926550,1965,zpravodajský film,KF K-41246,KF K-41246,12.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_18_1965,3926551,1965,zpravodajský film,KF K-41247,KF K-41247,12.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_22_1965,3926555,1965,zpravodajský film,KF K-41251,KF K-41251,13.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_23_1965,3926556,1965,zpravodajský film,KF K-41252,KF K-41252,9.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_27_1961,3921788,1961,zpravodajský film,KF DP-32330,KF DP-32330,14.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_3_1965,3926536,1965,zpravodajský film,KF K-41232,KF K-41232,12.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_4_1965,3926537,1965,zpravodajský film,KF K-41233,KF K-41233,9.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_41_1961,3923974,1961,zpravodajský film,KF DP-32332,KF DP-32332,14.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_47_1963,3921790,1963,zpravodajský film,KF DP-32333,KF DP-32333,14.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_5_1965,3926538,1965,zpravodajský film,KF K-41234,KF K-41234,9.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_51_1965,3926464,1965,zpravodajský film,KF K-41223,KF K-41223,6.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_6_1965,3926539,1965,zpravodajský film,KF K-41235,KF K-41235,9.12.2016,FLB,HD telecine,,,
