Název titulu v AIS,číslo titulu v AIS,rok,žánr,číslo zdroje digitalizace obrazu v AIS,číslo zdroje digitalizace zvuku v AIS,datum digitalizace,místo digitalizace,technologie digitalizace,délka v sekundách,poznámky,kontrola kvality
"HRDINOVÉ, NA KTERÉ NEZBYL ČAS",0061410,,dokument,KF-K  008447,KF-K  008447,2016,Barrandov,HD telecine,"1 475,08","pozor, vleptané německé podtitulky",
HRY A SNY,0011039,1958,hraný,HF-K 21744,HF-K 21744,2014,Barrandov,HD telecine,"5335,120000",,
HŘBITOV,3600133,1966,amatérský hraný,KF-N 9005,KF-N 9005,2016,Barrandov,HD telecine,"336,00",,
"HŘBITOV, KTERÝ ZEMŘEL",0061417,1959,dokument,KF-K 5403,KF-K 5403,2016,Barrandov,HD telecine,"696,04",,
HŘÍCH BOHA,0012403,1969,hraný,HF-K 0026698,HF-K 0026698,2017,Barrandov,HD telecine,"1 264,00",,
HUDBA Z MARSU,0010522,1955,hraný,HF-K 26541,HF-K 26541,2016,Barrandov,HD telecine,"6 389,00",,
HUMPOLEC NA KONCI DRUHÉ SVĚTOVÉ VÁLKY,3620533,1945,amatérský dokumentární,KF-K 26895,x,2016,Barrandov,HD telecine,"723,04",,
HUTĚ VOLAJÍ,0061435,,dokument,KF-K 005712,KF-K 005712,2015,Barrandov,HD telecine,"479,040000",,
HVĚZDA BETLÉMSKÁ,4000879,1969,animovaný,KF-K 020801,KF-K 020801,2015,Barrandov,HD telecine,"656,040000",,
HYPOTÉZY,0061438,1963,dokument,KF-K 8429,KF-K 8429,2016,Barrandov,HD telecine,"1 060,04",,
CHCEME ŽÍT,0010555,1949,hraný,HF-K 2404,HF-K 2404,2016,Barrandov,HD telecine,"3 772,72",,
CHEMIE V KUCHYNI,0065400,,dokument,KF-K 026216,KF-K 026216,2015,Barrandov,HD telecine,"855,320000",,
CHLAPCI V MODRÉM,0012170,1943,hraný,HF-K 013944,HF-K 013944,2014,Česká televize,HD telecine,"836,880000",,
CHLAPEC A SRNA,0011330,1962,hraný,HF-K 2955,HF-K 2955,2016,Barrandov,HD telecine,"2 572,20",,
CHLAPI ZE_ŽULY,0061443,,dokument,KF-K 002743,KF-K 002743,2014,Barrandov,HD telecine,"734,520000",,
CHOBOTNICE Z II. PATRA,0011827,1986,hraný,A22655,A22655,30.3.2017,Barrandov,HD telecine,,,
CHOV HUSÍ V LIBUŠI U PRAHY,0060291,1911,dokument,KF-K 13468,x,2016,Barrandov,HD telecine,"328,96",,
CHUDÁ HOLKA,0010235,1929,hraný,HF K-8461,HF K-8461,1.12.2016,FLB,HD telecine,,,
CHVÁLA VARHAN,0060973,1983,dokument,KF-K 43723,KF-K 43723,2016,Barrandov,HD telecine,"913,04",,
CHVÍLE MEZI ATLETY,0061450,,dokument,KF-K 004995,KF-K 004995,2016,Barrandov,HD telecine,"590,04",,
IKARIE XB 1,0011332,1963,hraný,HF-N 124,HF-N 124,2015,Magyar Filmlabor,4K sken / 4K postprodukce,"5035,320000",Digitálně restaurováno EEA,
ILUZE,0010047,1969,hraný,HF-K 11710,HF-K 11710,2016,Barrandov,HD telecine,"531,04",,
IMPRESE,3640058,1976,amatérský animovaný,KF-K 031536,KF-K 031536,2014,Barrandov,HD telecine,"150,080000",,
INDIÁNI Z VĚTROVA,0011336,1979,hraný,HF-K 18419,HF-K 18419,2016,Barrandov,HD telecine,"4 922,84",,
INSPIRACE,4000633,1948,animovaný,KF-K 007463,KF-K 007463,2014,Barrandov,HD telecine,"662,040000",,
INSTALACE PRVNÍHO BRNĚNSKÉHO BISKUPA,3620495,1950,amatérský dokumentární,KF-K 043909,KF-K 043909,2014,Barrandov,HD telecine,"1276,720000",,
INTIMNÍ OSVĚTLENÍ,0011354,1965,hraný,HF-DP 006053 ,HF-DP 006053 ,2014,Barrandov,HD telecine,"4248,320000",,
INTIMNÍ OSVĚTLENÍ,0011354,1965,hraný,,,2016,UPP,4K sken,"4 248,32",digitálně restaurováno UPP,
IRÁCKÝ KURDISTÁN ,0061459,1962,dokument,KF-K 6391,KF-K 6391,2016,Barrandov,HD telecine,"833,04",,
IRÁNSKÉ MINIATURY,0064235,1956,dokument,KF-K 24815,KF-K 24815,2016,Barrandov,HD telecine,"529,48",,
IRČIN ROMÁNEK,0010701,1936,hraný,HF-DP 013157,HF-DP 013157,2014,Barrandov,HD telecine,"5319,200000",,
IRČIN ROMÁNEK I.,0010280,1921,hraný,HF-K 013154,x,2015,Barrandov,HD telecine,"4193,040000",,
IVÁNKU NÁŠ,4000886,1949,animovaný,KF-K 000049,KF-K 000049,2015,Barrandov,HD telecine,"456,760000",,
JÁ A BĚLOVOUS ZRZUNDA,4000887,1974,animovaný,KF-K 043696,KF-K 043696,2015,Barrandov,HD telecine,"622,040000",,
JÁ NEJSEM JÁ,0011359,1985,hraný,HF-K 018416,HF-K 018416,2016,Barrandov,HD telecine,"5 419,44",,
"JÁ UŽ BUDU HODNÝ, DĚDEČKU",0011309,1978,hraný,HF-K 014043,HF-K 014043,2015,Barrandov,HD telecine,"4942,080000",,
"JABLONEC NAD NISOU, HLAVNÍ SÍDLO SKLÁŘSKÉHO A OZDOBNÉHO PRŮMYSLU",0066842,,dokument,KF-K 031829,x,2014,Barrandov,HD telecine,"310,720000",,
JACÍ JSOU JACI,0061465,1965,dokument,KF-K 6300,KF-K 6300,2016,Barrandov,HD telecine,"455,96",,
"JÁCHYME, HOĎ HO DO STROJE",0011234,1974,hraný,HF-K 017764,HF-K 017764,2015,Barrandov,HD telecine,"5630,080000",,
JÁCHYMOV VE SLUŽBÁCH LIDSTVA,0061467,1937,dokument,KF-K 10676,x,2016,Barrandov,HD telecine,"1 128,00",,
JÁJA MILUJE ČISTOTU,4003414,1932,animovaný,KF-K 041510,x,2012,Barrandov,HD telecine,"325,375000",pro DVD Český animovaný film 1925-1945 (němá verze),
JÁJA MILUJE ČISTOTU ,4003414,1932,animovaný,KF-K 034518,KF-K 034518,2012,Barrandov,HD telecine,"325,375000",pro DVD Český animovaný film 1925-1945 (zvuková verze),
JAK BÁSNÍCI PŘICHÁZEJÍ O ILUZE,0011818,1984,hraný,HF-K 022483,HF-K 022483,2015,Barrandov,HD telecine,"5869,080000",,
JAK BÁSNÍKŮM CHUTNÁ ŽIVOT,0011843,1987,hraný,HF-K 021496,HF-K 021496,2015,Barrandov,HD telecine,"6105,080000",,
JAK DALEKO JE Z CEJLONU DO ARIZONY ,0061469,1961,dokument,KF-K 6390,KF-K 6390,2016,Barrandov,HD telecine,"430,04",,
JAK KOUPAT PUDLA,3620760,?,amatérský dokumentární,KF-K 45780,KF-K 45780,2016,UPP,HD telecine,"864,56",,
JAK NAPÁLIT ADVOKÁTA,0011367,1980,hraný,HF-K 29385,HF-K 29385,2016,Barrandov,HD telecine,"4 560,32",,
JAK SE BUDÍ PRINCEZNY,0011249,1977,hraný,HF-K 017594,HF-K 017594,2015,Barrandov,HD telecine,"4990,080000",,
JAK SE ČLOVĚK NAUČIL LÉTAT,4000906,1958,animovaný,KF-K 012161,KF-K 012161,2014,Barrandov,HD telecine,"830,040000",,
JAK SE DĚLÁ FILM,0061481,,dokument,KF-K 006657,KF-K 006657,2014,Barrandov,HD telecine,"679,040000",,
JAK SE DĚLÁ TRPASLÍK,3620290,1985,amatérský dokumentární,KF-K 31544,KF-K 31544,2016,UPP,HD telecine,"534,52",,
JAK SE MOUDRÝ ARISTOTELES STAL JEŠTĚ MOUDŘEJŠÍM,4000908,1970,animovaný,KF-K 005574,KF-K 005574,2014,Barrandov,HD telecine,"663,040000","Pozor, NFA není držitelem práv výrobce.",
JAK SE STÁTÍ GENTLEMANEM,0010050,1971,hraný,HF-K 11675,HF-K 11675,2016,Barrandov,HD telecine,"943,04",,
JAK SI JAKUB NAPOSLEDY VYSTŘELIL,4000911,1979,animovaný,KF-K 026229,KF-K 026229,2016,Barrandov,HD telecine,"620,04",,
JAK STAŘEČEK MĚNIL AŽ VYMĚNIL,4000915,1953,animovaný,KF-K 020811,KF-K 020811,2014,Barrandov,HD telecine,"508,520000",,
JAK STROJ POMÁHÁ LIDEM,0061488,,dokument,KF-K 002964,KF-K 002964,2015,Barrandov,HD telecine,"691,040000",,
JAK SVĚT PŘICHÁZÍ O BÁSNÍKY,0011791,1982,hraný,HF-K 024423,HF-K 024423,2015,Barrandov,HD telecine,"5220,080000",,
JAK TO ZAČALO,0061489,,dokument,KF-K 043572,KF-K 043572,2015,Barrandov,HD telecine,"741,720000",,
JAK ULOVIT MAMUTA,4000774,1982,animovaný,KF-K 20683,KF-K 20683,2016,Barrandov,HD telecine,"662,04",,
JAK UTOPIT DOKTORA MRÁČKA,0011929,1974,hraný,HF-K 031766,HF-K 031766,2015,Barrandov,HD telecine,"5735,160000",,
JAK ŽIJE KVĚT TULIPÁNU,0060798,1960,dokument,KF-K 13271,KF-K 13271,2016,Barrandov,HD telecine,"609,48",,
JAKÉ PŘEKVAPENÍ,4003407,?,animovaný,KF-K 041042,KF-K 041042,2012,Barrandov,HD telecine,"41,000000",pro DVD Dodalovi,
JAN CIMBURA,0010702,1941,hraný,HF-K 022924,HF-K 022924,2014,Česká televize,HD telecine,"4965,000000",,
JAN ŠEDESÁT DEVĚT,0064639,,dokument,KF-K 042138,KF-K 042138,2014,Barrandov,HD telecine,"470,880000",,
"JÁRA CIMRMAN, LEŽÍCÍ, SPÍCÍ",0011381,1983,hraný,HF-K 026270,HF-K 026270,2014,Barrandov,HD telecine,"4903,160000",,
JARKA A VĚRA,0010709,1938,hraný,HF-K 023287,HF-K 023287,2015,Barrandov,HD telecine,"5002,080000",,
JARO JE TADY ,4003393,1938,animovaný,KF-K 030259,KF-K 030259,2012,Barrandov,HD telecine,"87,368333",pro DVD Český animovaný film 1925-1945,
JAVANSKÉ SÓLO,0064215,,dokument,KF-K 044706,KF-K 044706,2015,Barrandov,HD telecine,"457,040000",,
JE ČAS,0061520,,dokument,KF-K 005328,KF-K 005328,2016,Barrandov,HD telecine,"312,04",,
JE DOBA SAMÝ SPORT,0066010,,dokument,KF-K 042533,KF-K 042533,2016,Barrandov,HD telecine,"708,04",,
JE-LI KDE NA SVĚTĚ RÁJ,0061533,,dokument,KF-K 008271,KF-K 008271,2014,Barrandov,HD telecine,"4748,920000",,
JEDEN TISÍC MILION,0061056,,dokument,KF-K 018528,KF-K 018528,2015,Barrandov,HD telecine,"1469,160000",,
JEDEN ZE ŠTAFETY,0061527,1951,dokument,KF-K 6444,KF-K 6444,2016,Česká televize,HD telecine,"3 639,68",,
JEDENÁCTÝ VŠESOKOLSKÝ SLET V PRAZE - DOPLŇKY,3620677,1948,amatérský dokumentární,KF-K 044840,x,2015,Barrandov,HD telecine,"380,120000",,
JEDNÉ PODZIMNÍ NEDĚLE,0069547,,dokument,KF-K 044978,KF-K 044978,2015,Barrandov,HD telecine,"543,040000",,
JEJÍ HŘÍCH,0010715,1939,hraný,HF-K 013793,HF-K 013793,2014,Barrandov,HD telecine,"5205,480000",,
JEJÍ PASTORKYŇA, 0010245,1929,hraný,HF-K 024908,x,2014,Barrandov,HD telecine,"5427,520000",,
JEJÍ PASTORKYŇE, 0010720,1938,hraný,HF-K 022928,HF-K 022928,2014,Barrandov,HD telecine,"4642,040000",,
JEJICH POSLÁNÍ ŠPIONÁŽ,0061531,1963,dokument,KF-K  021307,KF-K  021307,20.3.2017,FLB,HD telecine,"706,00",16mm,
JEN ČTVRT HODINKY?,0065798,,dokument,KF-K 028066,KF-K 028066,2015,Barrandov,HD telecine,"875,960000",,
"JEN HO NECHTE, AŤ SE BOJÍ",0011312,1977,hraný,HF-K 014009,HF-K 014009,2015,Barrandov,HD telecine,"5325,080000",,
JENISEJ,0061535,1966,dokument,KF-K 6389,KF-K 6389,2016,Barrandov,HD telecine,"686,56",,
JENOM TAK A NE JINAK ,4000933,1933,animovaný,KF-K 007424,KF-K 007424,2012,Barrandov,HD telecine,"109,410000",pro DVD Český animovaný film 1925-1945,
"JEZDÍ SE VLEVO, ALE... ",0061537,1964,dokument,KF-K 6420,KF-K 6420,2016,Barrandov,HD telecine,"451,48",,
JIČÍN 28 ŘÍJNA 1925,0068336,1925,dokument,KF-K 23646,KF-K 23646,2016,Barrandov,HD telecine,"312,04",,
Jižní Čechy ,0061555,1927,dokument,A9566,A9566,28.3.2017,Barrandov,HD telecine,3500.520000,,
JIŽNÍ MĚSTO 3.,0064523,1974,dokument,KF-K 25534,KF-K 25534,2016,Barrandov,HD telecine,"1 041,04",,
"JMÉNA, K NIMŽ NEJSOU LIDÉ",0064365,1960,dokument,KF-K  024881,KF-K  024881,27.3.2017,FLB,HD telecine,"483,00",,
JOHANES DOKTOR FAUST,4000939,1958,animovaný,KF-K 001851,KF-K 001851,2015,Barrandov,HD telecine,"1043,040000",,
JOSEF KAJETÁN TYL,0010299,1925,hraný,HF-K 024527,x,2014,Barrandov,HD telecine,"7875,080000",,
JSEM DĚVČE S ČERTEM V TĚLE,0010723,1933,hraný,HF-K 010729,HF-K 010729,2015,Česká televize,HD telecine,"5492,080000",,
JSOUC NA ŘECE MLYNÁŘ JEDEN,4000607,1971,animovaný,KF-K 005354,KF-K 005354,2014,Barrandov,HD telecine,"632,040000","Pozor, NFA není držitelem práv výrobce.",
K MYSU DOBRÉ NADĚJE,0061570,,dokument,KF-K 008211,KF-K 008211,2014,Barrandov,HD telecine,"2832,200000",,
KACHNÍ FARMY,0060168,,dokument,KF-K 014842,KF-K 014842,2015,Barrandov,HD telecine,"921,040000",,
KAM ZMIZEL KURÝR,0011387,1981,hraný,HF-K 31784,HF-K 31784,2016,Barrandov,HD telecine,"4 959,40",,
KAMARÁD DO DEŠTĚ,0010336,1987,hraný,HF-K 23519,HF-K 23519,2016,Barrandov,HD telecine,"4 329,40",,
KAMČATSKÁ OKÉNKA ,0061575,1965,dokument,KF-K 6393,KF-K 6393,2016,Barrandov,HD telecine,"483,12",,
KÁMEN A ŽIVOT,4000944,1965,animovaný,KF-K 007955,KF-K 007955,2015,Barrandov,HD telecine,"457,040000",,
KAMENÁČ BILL A DRZÍ ZAJÍCI,4000945,1964,animovaný,KF-K 012167,KF-K 012167,2014,Barrandov,HD telecine,"583,040000",,
KAMENNA SLÁVA,0061579,,dokument,KF-K 006582,KF-K 006582,2015,Barrandov,HD telecine,"662,920000",,
KANALISAČNÍ ČISTÍRNY,0065404,,dokument,KF-K 044493,KF-K 044493,2015,Barrandov,HD telecine,"1376,040000",,
KAPITÁN NEMO TO ZNAL,0061584,1964,dokument,KF-K 6388,KF-K 6388,2016,Barrandov,HD telecine,"414,08",,
KAPKY A BUBLINY,0061585,,dokument,KF-K 008440,KF-K 008440,2014,Barrandov,HD telecine,"734,040000",,
KAREL A JÁ,0010678,1942,hraný,HF-DP 12471,HF-DP 12471,2016,Barrandov,HD telecine,"5 597,32",,
KAREL ZEMAN DĚTEM,0061000,,dokument,KF-K 018551,KF-K 018551,2015,Česká televize,HD telecine,"998,960000",,
KARIÉRA PAVLA ČAMRDY,0010752,1931,hraný,HF-K 007693,HF-K 007693,2015,Česká televize,HD telecine,"5607,600000",,
KARLOVY VARY,0061595,,dokument,KF-K 012747,x,2014,Barrandov,HD telecine,"933,040000",,
KARLOVY VARY,0061596,,dokument,KF-K 009064,KF-K 009064,2014,Barrandov,HD telecine,"698,000000",,
KARLOVY VARY,0063948,,dokument,KF-K 019682,KF-K 019682,2014,Barrandov,HD telecine,"708,040000",,
KAŠLÁNÍ A KÝCHÁNÍ,4000952,1951,animovaný,KF-K 029513,KF-K 029513,2014,Česká televize,HD telecine,"144,960000","vysoká komprese - H.264, 20 Mb/s",
KATAKOMBY,0010710,1940,hraný,HF-K 023094,HF-K 023094,2015,Barrandov,HD telecine,"4799,080000",,
KAŽDÝ DEN ODVAHU,0011396,1964,hraný,HF-K 019588,HF-K 019588,2014,Barrandov,HD telecine,"5139,160000",,
Každý mladý muž,0010953,1965,hraný,DP6204,DP6204,28.3.2017,Barrandov,HD telecine,4908.880000,,
KAŽDÝ NA SVÉ MÍSTO,0061605,,dokument,KF-K 005024,KF-K 005024,2014,Česká televize,HD telecine,"580,360000","vysoká komprese - H.264, 20 Mb/s",
KDEKDO HRAJE VODNÍ POLO,0061612,1965,dokument,KF-K 6419,KF-K 6419,2016,Barrandov,HD telecine,"405,72",,
KDO CHCE ZABÍT JESSII?,0011435,1966,hraný,HF-DP 002252,HF-DP 002252,2015,Barrandov,HD telecine,"4739,080000",,
KDO JE VINEN,0010397,1946,hraný,KF-K 019253,KF-K 019253,2015,Barrandov,HD telecine,"715,400000",,
KDYBY VŠICHNI BOZI SVĚTA,0061620,1964,dokument,KF-K 6341,KF-K 6341,2016,Barrandov,HD telecine,"686,88",,
KDYŽ VALČÍK ZNÍ,0010247,1929,hraný,HF-K 007288,x,2015,Barrandov,HD telecine,"4172,080000",,
KINO,0010118,1961,hraný,KF-K 18941 ,KF-K 18941 ,2016,Barrandov,HD telecine,"783,04",,
KLADIVO NA ČARODĚJNICE,0011439,1969,hraný,HF-DP 010290,HF-DP 010290,2014,Barrandov,HD telecine,"6147,160000",,
KLUCI Z BRONZU,0011089,1980,hraný,A32210,A32210,7.4.2017,Barrandov,HD telecine,,,
KLUKOVY KLUKOVINY,4000962,1973,animovaný,KF-K 005798,KF-K 005798,2015,Barrandov,HD telecine,"453,040000",,
KNÍŽE VÁCLAV,0010141,1942,hraný,HF-K 024579,x,2015,Barrandov,HD telecine,"589,080000",,
KOČÁR DO VÍDNĚ,0011448,1966,hraný,HF-K 5302,HF-K 5302,2016,Barrandov,HD telecine,"4 541,56",,
KOČIČINA,0010153,1960,hraný,HF-K 19243,HF-K 19243,2016,Barrandov,HD telecine,"602,52",,
KOKEŠ - CO CHCEŠ?,0061646,1964,dokument,KF-K 6387,KF-K 6387,2016,Barrandov,HD telecine,"361,64",,
KOLIK SLOV STAČÍ LÁSCE?,0011454,1961,hraný,HF-K 008750,HF-K 008750,2015,Barrandov,HD telecine,"5495,080000",,
KOMBAJN,4005231,1951,animovaný,KF-K 021709,KF-K 021709,2014,Barrandov,HD telecine,"869,040000",,
KONEC K. H. FRANKA,0066846,,dokument,KF-K 29930,x,2016,Barrandov,HD telecine,"208,00",,
KONEC KOUZELNÍKA UHAHULY,4000970,1981,animovaný,K 13 161,K 13 161,16.1.2017,FLB,HD telecine,603.040000,,
KONEC MILOVÁNÍ,0010019,1913,hraný,HF-K 030271,x,2015,Barrandov,HD telecine,"1221,520000",,
KONEC STARÝCH ČASŮ,0010370,1989,hraný,HF-K 021498,HF-K 021498,2014,Barrandov,HD telecine,"5595,640000",,
KONKURS,0011466,1963,hraný,HF-DP 000613,HF-DP 000613,2014,Barrandov,HD telecine,"4716,200000",,
Konstantinovy Lázně,0060938,1923,dokument,A2734,A2734,27.3.2017,Barrandov,HD telecine,1058.160000,,
KOPANÁ ČSR - ŠVÝCARSKO,0067380,,dokument,KF-K 041921,KF-K 041921,2016,Barrandov,HD telecine,"454,04",,
KOPRETINY PRO ZÁMECKOU PANÍ,0011467,1981,hraný,HF-K 017752,HF-K 017752,2015,Barrandov,HD telecine,"4896,200000",,
KORÁLKOVÁ POHÁDKA,4000973,1968,animovaný,KF-K 009866,KF-K 009866,2015,Barrandov,HD telecine,"501,040000",,
KOSMETIKA,0080807,1932,dokument,KF-K 45692,x,2016,Barrandov,HD telecine,"85,00",,
KOUŘ,0065199,1959,dokument,KF-K 024749,KF-K 024749,2015,Barrandov,HD telecine,"624,040000",režie Olga Růžičková,
KOUZELNÁ TUŽKA ,4002615,1925,animovaný,KF-K 010574,x,2012,Barrandov,HD telecine,"198,791667",pro DVD Český animovaný film 1925-1945,
KOUZELNÍCI Z ASAHI,0061677,1964,dokument,KF-K 6292,KF-K 6292,2016,Barrandov,HD telecine,"549,32",,
KOUZELNÝ DEN,0011469,1960,hraný,HF-K 006578,HF-K 006578,2014,Barrandov,HD telecine,"4264,040000",,
KOVÁCI,0061681,,dokument,KF-K 001986,KF-K 001986,2014,Česká televize,HD telecine,"770,560000",,
KRABICE FILMU,0064893,,dokument,KF-K 022813,KF-K 022813,2015,Barrandov,HD telecine,"1417,320000",,
KRAJAN,4000978,1979,animovaný,KF-K 12031,KF-K 12031,2016,Barrandov,HD telecine,"754,04",,
KRAJINA S NÁBYTKEM,0011830,1986,hraný,HF-K 029386,HF-K 029386,2015,Barrandov,HD telecine,"5534,440000",,
KRAKATIT,0010388,1948,hraný,HF-N 2537,HF-N 2537,2015,Magyar Filmlabor,4K sken / 4K postprodukce,"5853,640000",Digitálně restaurováno EEA,
KRAKONOŠ A LYŽNÍCI,0011470,1980,hraný,HF-K 023525,HF-K 023525,2014,Barrandov,HD telecine,"4332,080000",,
KRÁL KRÁLŮ,0011473,1963,hraný,HF-K 21662,HF-K 21662,2016,Barrandov,HD telecine,"5 458,88",,
KRÁL LÁVRA,4000645,1950,animovaný,KF-K 041108,KF-K 041108,2014,Barrandov,HD telecine,"1706,040000",,
KRÁL ŠUMAVY,0011042,1959,hraný,HF-K 026525,HF-K 026525,2014,Barrandov,HD telecine,"5376,000000",,
KRÁLÍČEK,0012546,1963,hraný,HF-K 027320,HF-K 027320,2014,Barrandov,HD telecine,"681,720000",,
KRÁM NA PŘEDMĚSTÍ,0061689,,dokument,KF-K 005273,KF-K 005273,2015,Barrandov,HD telecine,"961,040000",,
KRÁSA A SÍLA,0060204,,dokument,KF-K 014949,KF-K 014949,2014,Česká televize,HD telecine,"829,640000",,
KRÁSA PRO ŽIVOT,0064388,1970,dokument,KF-K 20692,KF-K 20692,2016,Barrandov,HD telecine,"1 298,80",,
KRASLICE MĚSTO HUDBY,0064586,1935,dokument,KF-K 25948,KF-K 25948,2016,Barrandov,HD telecine,"837,88",,
KRAVKY TUČNÉ A HUBENÉ ,4000987,1929,animovaný,KF-K 010344,x,2012,Barrandov,HD telecine,"407,750000",pro DVD Český animovaný film 1925-1945,
KREMACE BEZ MRTVÝCH,0080085,,dokument,KF-K 044643,KF-K 044643,2015,Barrandov,HD telecine,"627,040000",,
KRESLENÝ FILM VE ZLÍNĚ,0064585,,dokument,KF-K 025946,KF-K 025946,2015,Barrandov,HD telecine,"192,640000",,
KRISTIAN,0010736,1939,hraný,HF-K 23845,HF-K 23845,2016,Barrandov,HD telecine,"5 677,80",,
KRIZE,3500755,1939,dokument,KF-K 34697,KF-K 34697,2016,Barrandov,HD telecine,"4 044,64",,
KROK DO TMY,0010737,1938,hraný,HF-K 022361,HF-K 022361,2015,Barrandov,HD telecine,"5019,080000",,
KROK DO ZÍTŘKA,0061701,1961,dokument,KF-K 5680,KF-K 5680,2016,Barrandov,HD telecine,"864,04",,
KRUŠNÉ HORY,0060337,,dokument,KF-K 015110,KF-K 015110,2015,Barrandov,HD telecine,"764,040000",,
KŘEČEK,4001014,1946,animovaný,KF-K 029942,KF-K 029942,2014,Barrandov,HD telecine,"497,040000",,
KŘEPELKY,0061711,,dokument,KF-K 009018,KF-K 009018,2014,Barrandov,HD telecine,"976,800000","pozor, nemáme práva",
KŘEST MRAZEM,0061712,1965,dokument,KF-K 6342,KF-K 6342,2016,Barrandov,HD telecine,"582,12",,
KŘIK,0011477,1963,hraný,HF-DP 006464,HF-DP 006464,2014,Barrandov,HD telecine,"4633,040000",,
KŘIŽOVATKA ŽIVOTA,0012310,1948,hraný,HF-K 025983,KH-K 025983,2014,Česká televize,HD telecine,"900,560000",,
KULIČKA,4001019,1963,animovaný,KF-K 12156,KF-K 12156,2016,Barrandov,HD telecine,"521,04",,
KULOVÝ BLESK,0011324,1978,hraný,HF-K 029319,HF-K 029319,2015,Barrandov,HD telecine,"4945,200000",,
"KULTURNÍ PŘEHLED 1952, Č. 4",3920592,,zpravodajský film,KF-K 028293,KF-K 028293,2015,Barrandov,HD telecine,"652,040000",,
KUSAMBA LOVI V NOCI,0080245,,dokument,KF-K 044707,KF-K 044707,2015,Barrandov,HD telecine,"376,040000",,
KVĚTEN TISÍC DEVĚT SET ČTYŘICET PĚT,0060376,,dokument,KF-K 012015,KF-K 012015,2014,Barrandov,HD telecine,"1257,680000",,
KVĚTNOVÁ REVOLUCE 1945,3620538,1945,amatérský dokumentární,KF-K 044663,x,2015,UPP,HD sken,"1898,916667",,
KVĚTY NA TATRÁCH,0061739,,dokument,KF-K 005896,KF-K 005896,2014,Barrandov,HD telecine,"606,800000",,
LÁÁÁSKA,4000027,1978,animovaný,KF-K 006877,KF-K 006877,2014,Barrandov,HD telecine,"567,040000","Pozor, NFA není držitelem práv výrobce.",
LÁSKA ,0061751,,dokument,KF-K 002507,KF-K 002507,2014,Česká televize,HD telecine,"1190,400000",,
LÁSKA A PENÍZE ,4001063,1943,animovaný,KF-K 014144,x,2012,Barrandov,HD telecine,"230,208",pro DVD Český animovaný film 1925-1945,SOUBOR MA SPATNE ID
LÁSKY JEDNÉ PLAVOVLÁSKY,0011485,1965,hraný,HF-K 022436,HF-K 022436,2014,Barrandov,HD telecine,"4602,240000",,
LÁZNĚ TEPLICE ŠANOV,0060182,1929,dokument,KF-K 36560,x,2016,Barrandov,HD telecine,"416,40",,
LELÍČEK VE SLUŽBÁCH SHERLOCKA HOLMESA,0010716,1932,hraný,HF-K 028790,HF-K 028790,2015,Barrandov,HD telecine,"5246,160000",,
LEO NA PRÁZDNINÁCH,4001924,1966,animovaný,KF-K 019408,KF-K 019408,2015,Barrandov,HD telecine,"694,040000",,
LEO U FOTOGRAFA,4001039,1972,animovaný,KF-K 21723,KF-K 21723,2016,Barrandov,HD telecine,"446,04",,
LETÍME RAKETOU... ,4003209,1937,animovaný,KF-K 028075,KF-K 028075,2012,Barrandov,HD telecine,"69,267500",pro DVD Český animovaný film 1925-1945,
LÉTO S KOVBOJEM,0011489,1976,hraný,HF-K 29374,HF-K 29374,2016,Barrandov,HD telecine,"5 234,00",,
LEV A PÍSNIČKA,4001072,1959,animovaný,KF-K 007481,KF-K 007481,2014,Barrandov,HD telecine,"927,040000",,
LÍBAT ČI NELÍBAT,4001073,1947,animovaný,KF-K 006823,KF-K 006823,2014,Česká televize,HD telecine,"70,440000",,
LID SI VLÁDNE SÁM,0061235,,dokument,KF-K 024750,KF-K 024750,2015,Barrandov,HD telecine,"620,840000",,
LIDÉ A PÁRKY,0061799,,dokument,KF-K 002213,KF-K 002213,2015,Barrandov,HD telecine,"744,520000",,
LIDICE VARUJÍ,0060320,,dokument,KF-K 015203,KF-K 015203,2014,Barrandov,HD telecine,"1027,040000",,
LIMONÁDOVÝ JOE ANEB KOŇSKÁ OPERA,0011495,1964,hraný,HF-K 027120,HF-K 027120,2011,UPP,HD telecine,"5716,120000",,
LIPANY TŘICÁTÉHO KVĚTNA 1434,0061526,,dokument,KF-K 005775,x,2015,Barrandov,HD telecine,"897,040000",,
LIŠKA A DŽBÁN,4000467,1947,animovaný,KF-K 001005,KF-K 001005,2014,Barrandov,HD telecine,"514,440000",,
LITOMYŠL,0061827,,dokument,KF-K 005625,KF-K 005625,2014,Barrandov,HD telecine,"470,006800",,
LÍZIN LET DO NEBE,0010742,1937,hraný,HF-DP 008218,HF-DP 008218,2015,Barrandov,HD telecine,"6101,200000",,
LOMENÝ PAPRSEK,0064487,1939,dokument,KF-K 42384,KF-K 42384,2016,Barrandov,HD telecine,"649,04",,
LONTAR,0080279,,dokument,KF-K 004639,KF-K 004639,2015,Barrandov,HD telecine,"517,040000",,
LOVCI LEBEK,0061832,,dokument,KF-K 000135,KF-K 000135,2014,Barrandov,HD telecine,"958,040000",,
LUPIČ,0010094,1927,hraný,HF-K 014578,x,2014,Barrandov,HD telecine,"328,320000",krátký předfilm před Milenky starého kriminálníka,
LUX ARTE FACTA,0061840,1977,dokument,KF-K 5181,KF-K 5181,2016,Barrandov,HD telecine,"893,68",,
